Car_ID,Brand,Model,Segment,Year,Price_INR_Lakhs,Engine_CC,Fuel_Type,Transmission,Power_BHP,Torque_Nm,Mileage_kmpl,Top_Speed_kmph,No_of_Airbags,ABS,EBD,ESP,Hill_Assist,ISOFIX,Rear_Parking_Sensors,Front_Parking_Sensors,Reverse_Camera,Blind_Spot_Monitor,Lane_Departure_Warning,Adaptive_Cruise_Control,Auto_Emergency_Braking,NCAP_Rating,No_of_Seats,Sunroof_Moonroof,Leather_Seats,Ventilated_Seats,Heated_Seats,Climate_Zones,Ambient_Lighting,Wireless_Charging,Infotainment_Screen_inch,Apple_CarPlay,Android_Auto,Connected_Car_Tech,Digital_Instrument_Cluster,Head_Up_Display,Premium_Sound_System,Cruise_Control,Keyless_Entry,Push_Button_Start,Electric_Parking_Brake,Auto_Dimming_IRVM,Tyre_Size,Ground_Clearance_mm,Boot_Space_L,Fuel_Tank_L,Wheelbase_mm,Length_mm,Width_mm,Height_mm,Kerb_Weight_kg,Drive_Type
394,Tata,Altroz,Hatchback,2019,4.96,800,CNG,AMT,85,108,20.23,175,2,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,3,5,No,Yes,No,No,1,Yes,No,9,Yes,Yes,No,No,No,JBL,No,Yes,Yes,No,No,175/65 R15,183,347,40,2563,3766,1714,1542,1120,FWD
395,Volkswagen,Polo,Hatchback,2019,6.82,1000,Petrol,AMT,87,145,18.33,180,4,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,0,5,No,No,No,Yes,1,No,No,9,Yes,Yes,No,No,No,JBL,No,Yes,Yes,No,No,165/65 R14,166,301,36,2558,3956,1752,1472,991,FWD
396,Tata,Altroz,Hatchback,2022,9.08,1300,Petrol,Automatic,76,85,21.49,143,4,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,0,5,Yes,Yes,Yes,No,1,Yes,Yes,7,Yes,Yes,Yes,Yes,Yes,Burmester,Yes,Yes,Yes,Yes,Yes,175/65 R15,167,322,31,2390,3908,1628,1542,889,FWD
397,Maruti Suzuki,Alto K10,Hatchback,2023,8.22,1000,CNG,Manual,87,154,22.87,189,6,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,5,5,No,No,Yes,No,1,No,No,9,Yes,Yes,No,No,No,JBL,No,Yes,Yes,No,No,175/65 R15,167,334,37,2582,3877,1654,1457,889,FWD
398,Maruti Suzuki,Alto K10,Hatchback,2019,10.56,1200,Diesel,Automatic,84,98,18.34,154,4,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,5,5,Yes,Yes,Yes,No,1,Yes,Yes,9,Yes,Yes,Yes,Yes,No,JBL,Yes,Yes,Yes,Yes,No,185/60 R15,162,366,42,2481,3919,1731,1551,873,FWD
399,Tata,Tiago,Hatchback,2024,5.47,800,CNG,CVT,90,154,16.44,153,4,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4,5,No,No,No,No,1,No,Yes,7,Yes,Yes,No,No,No,JBL,No,Yes,Yes,No,No,185/60 R15,164,250,29,2441,3855,1761,1450,1120,FWD
400,Volkswagen,Polo,Hatchback,2021,6.74,1100,CNG,CVT,78,126,20.23,166,2,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,0,5,No,No,No,No,1,No,No,10.25,Yes,Yes,No,No,No,JBL,No,Yes,Yes,No,No,195/55 R16,182,315,41,2521,4028,1774,1547,1083,FWD
401,Honda,Brio,Hatchback,2021,5.59,1000,Diesel,Automatic,93,139,17.18,176,2,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,3,5,No,Yes,No,No,1,No,No,10.25,Yes,Yes,Yes,No,No,Bose,No,Yes,Yes,Yes,No,175/65 R15,164,298,36,2535,3812,1703,1535,1035,FWD
402,Honda,Brio,Hatchback,2020,9.43,1200,Petrol Hybrid,AMT,104,185,22.62,162,4,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,0,5,Yes,Yes,No,No,1,Yes,Yes,8,Yes,Yes,Yes,Yes,Yes,Mark Levinson,Yes,Yes,Yes,No,No,185/60 R15,173,326,42,2572,3761,1684,1557,948,FWD
403,Maruti Suzuki,Wagon R,Hatchback,2023,5.62,1200,Petrol Hybrid,Manual,86,125,21.01,142,2,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,0,5,No,Yes,No,No,1,No,No,7,Yes,Yes,Yes,Yes,No,JBL,No,Yes,Yes,Yes,No,165/65 R14,182,322,28,2496,3908,1665,1560,1117,FWD
404,Tata,Punch,Hatchback,2022,9.32,1300,Petrol,AMT,91,114,18.24,141,4,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,4,5,Yes,Yes,Yes,No,1,No,No,8,Yes,Yes,Yes,No,Yes,Sony,Yes,Yes,Yes,Yes,Yes,185/60 R15,157,289,31,2431,3932,1679,1461,917,FWD
405,Hyundai,Grand i10 Nios,Hatchback,2024,11.48,900,Petrol,CVT,94,110,20.36,145,4,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0,5,Yes,Yes,Yes,No,1,Yes,Yes,9,Yes,Yes,Yes,Yes,No,Harman Kardon,Yes,Yes,Yes,Yes,Yes,195/55 R16,164,370,28,2589,3748,1730,1485,995,FWD
406,Toyota,Glanza,Hatchback,2022,6.04,1000,Electric,Manual,83,122,23.42,169,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,5,5,No,No,No,No,1,No,No,10.25,Yes,Yes,Yes,No,No,JBL,Yes,Yes,Yes,No,No,185/60 R15,168,247,33,2438,3993,1735,1544,861,FWD
407,Tata,Punch,Hatchback,2023,9.89,1100,Petrol,CVT,89,105,19.83,143,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,5,Yes,Yes,Yes,No,1,Yes,Yes,7,Yes,Yes,Yes,Yes,Yes,JBL,Yes,Yes,Yes,Yes,Yes,165/65 R14,171,284,29,2526,3771,1703,1522,1053,FWD
408,Maruti Suzuki,Alto K10,Hatchback,2019,8.68,1200,Petrol Hybrid,Manual,87,121,20.87,158,6,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,0,5,No,Yes,Yes,No,1,Yes,Yes,9,Yes,Yes,Yes,Yes,Yes,JBL,Yes,Yes,Yes,Yes,Yes,195/55 R16,185,249,39,2547,3925,1643,1495,941,FWD
409,Ford,Figo,Hatchback,2022,7.86,1100,Petrol,AMT,88,137,16.21,179,4,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,3,5,No,No,No,No,1,No,Yes,7,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,175/65 R15,166,253,39,2448,3715,1789,1496,1049,FWD
410,Maruti Suzuki,Alto K10,Hatchback,2021,9.64,1200,Petrol,Automatic,79,96,23.2,151,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,3,5,Yes,Yes,Yes,No,1,Yes,No,8,Yes,Yes,No,Yes,No,Burmester,Yes,Yes,Yes,Yes,Yes,165/65 R14,176,323,30,2516,4089,1706,1542,1097,FWD
411,Maruti Suzuki,Celerio,Hatchback,2022,5.76,1200,Petrol,CVT,87,109,21.56,161,4,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,0,5,No,No,Yes,No,1,No,No,9,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,165/65 R14,184,268,42,2503,4006,1743,1471,874,FWD
412,Honda,Brio,Hatchback,2024,7,900,Petrol,Manual,92,155,17.68,159,2,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,3,5,No,No,No,Yes,1,No,Yes,7,Yes,Yes,Yes,No,No,Bose,Yes,Yes,Yes,No,No,165/65 R14,177,374,35,2523,3730,1774,1543,917,FWD
413,Maruti Suzuki,Swift,Hatchback,2021,7.21,900,Electric,Manual,103,175,18.79,150,2,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,3,5,No,No,No,No,1,No,No,9,Yes,Yes,No,No,No,Bose,No,Yes,Yes,No,No,185/60 R15,160,368,30,2457,4014,1650,1460,1069,FWD
414,Maruti Suzuki,Swift,Hatchback,2020,11.49,800,CNG,Manual,97,161,18.98,154,6,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,0,5,Yes,Yes,Yes,No,1,Yes,Yes,9,Yes,Yes,No,Yes,Yes,Burmester,Yes,Yes,Yes,Yes,Yes,175/65 R15,168,354,42,2543,3925,1694,1532,1061,FWD
415,Maruti Suzuki,Swift,Hatchback,2020,7.25,1200,CNG,AMT,110,191,18.3,144,2,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,0,5,No,Yes,No,No,1,No,No,8,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,195/55 R16,160,286,42,2469,3945,1738,1491,983,FWD
416,Ford,Figo,Hatchback,2024,6.49,900,Petrol,AMT,79,139,18.6,179,2,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,5,5,No,No,No,No,1,Yes,No,8,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,175/65 R15,178,345,42,2423,3751,1729,1552,1017,FWD
417,Citroen,C3,Hatchback,2020,8.65,900,Petrol,Manual,96,149,21.62,155,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,5,5,Yes,No,Yes,No,1,Yes,No,10.25,Yes,Yes,Yes,Yes,Yes,Meridian,Yes,Yes,Yes,No,Yes,165/65 R14,160,284,35,2397,3782,1634,1492,976,FWD
418,Honda,Brio,Hatchback,2022,9.89,900,Petrol,AMT,89,118,20.64,175,6,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,0,5,Yes,Yes,Yes,No,1,Yes,Yes,10.25,Yes,Yes,Yes,Yes,No,Mark Levinson,Yes,Yes,Yes,Yes,Yes,175/65 R15,175,376,34,2395,4084,1630,1475,858,FWD
419,Citroen,C3,Hatchback,2020,11.42,1300,Petrol,Automatic,111,183,18.57,169,2,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,3,5,Yes,Yes,Yes,No,1,Yes,No,7,Yes,Yes,Yes,No,Yes,Mark Levinson,Yes,Yes,Yes,Yes,No,175/65 R15,167,252,38,2418,4074,1658,1464,956,FWD
420,Tata,Tiago,Hatchback,2024,11.43,1100,Petrol,AMT,78,93,16.92,189,6,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,0,5,No,Yes,Yes,No,1,Yes,Yes,10.25,Yes,Yes,Yes,Yes,No,Meridian,Yes,Yes,Yes,Yes,Yes,165/65 R14,159,312,30,2405,3746,1692,1452,1135,FWD
421,Honda,Brio,Hatchback,2020,11.41,800,Diesel,Manual,78,93,20.77,164,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,0,5,Yes,Yes,Yes,No,1,Yes,Yes,7,Yes,Yes,Yes,Yes,Yes,Harman Kardon,Yes,Yes,Yes,Yes,Yes,185/60 R15,172,333,34,2458,4090,1653,1477,863,FWD
422,Hyundai,i20,Hatchback,2024,10.34,800,Petrol,Manual,81,92,16.98,179,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,4,5,Yes,Yes,No,No,1,Yes,Yes,8,Yes,Yes,Yes,Yes,Yes,Harman Kardon,Yes,Yes,Yes,No,Yes,165/65 R14,158,244,37,2472,3907,1747,1522,1081,FWD
423,Nissan,Magnite,Hatchback,2021,9.17,1000,Petrol,Automatic,64,115,18.98,167,2,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,0,5,Yes,Yes,No,No,1,Yes,Yes,7,Yes,Yes,Yes,Yes,Yes,JBL,Yes,Yes,Yes,No,Yes,195/55 R16,158,277,37,2387,4068,1647,1493,881,FWD
424,Hyundai,i20,Hatchback,2020,8.31,1100,Petrol,Manual,81,115,17.83,145,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3,5,Yes,Yes,Yes,No,1,Yes,Yes,8,Yes,Yes,Yes,Yes,Yes,Mark Levinson,Yes,Yes,Yes,Yes,Yes,175/65 R15,181,352,42,2445,3923,1720,1505,926,FWD
425,Hyundai,Grand i10 Nios,Hatchback,2023,4.98,900,Electric,Automatic,79,113,16.26,157,4,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,4,5,No,Yes,No,No,1,No,No,7,Yes,Yes,No,No,No,JBL,No,Yes,Yes,No,Yes,175/65 R15,176,256,33,2580,3788,1630,1482,1106,FWD
426,Tata,Punch,Hatchback,2021,9.35,1200,Electric,CVT,89,122,20.85,171,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,5,No,Yes,Yes,No,1,Yes,Yes,8,Yes,Yes,Yes,Yes,Yes,Harman Kardon,Yes,Yes,Yes,No,Yes,185/60 R15,173,269,37,2494,3707,1637,1541,985,FWD
427,Nissan,Magnite,Hatchback,2024,5.55,900,Petrol,Manual,91,152,20.32,150,2,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,0,5,No,No,No,No,1,No,No,7,Yes,Yes,No,No,No,JBL,No,Yes,Yes,No,No,165/65 R14,181,258,36,2482,3833,1697,1518,920,FWD
428,Tata,Tiago,Hatchback,2022,11.6,1000,Petrol,AMT,107,135,23.86,172,4,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,4,5,Yes,Yes,Yes,No,1,Yes,Yes,8,Yes,Yes,Yes,Yes,No,Bang & Olufsen,Yes,Yes,Yes,Yes,Yes,175/65 R15,169,340,37,2551,3944,1790,1531,875,FWD
429,Maruti Suzuki,Baleno,Hatchback,2023,7.16,1300,Petrol,CVT,97,112,20.65,147,4,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,4,5,No,No,No,No,1,Yes,No,10.25,Yes,Yes,No,Yes,No,Bose,No,Yes,Yes,No,No,195/55 R16,155,308,35,2510,3859,1658,1458,1077,FWD
430,Tata,Altroz,Hatchback,2023,7.04,1100,Petrol,CVT,81,109,22.08,180,4,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,3,5,No,Yes,No,No,1,No,Yes,7,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,175/65 R15,166,281,41,2432,4065,1724,1463,969,FWD
431,Maruti Suzuki,Ignis,Hatchback,2024,7.56,800,Petrol,CVT,77,87,18.04,175,2,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,4,5,No,No,No,No,1,Yes,No,10.25,Yes,Yes,No,No,No,JBL,Yes,Yes,Yes,No,No,165/65 R14,172,378,42,2566,3701,1722,1509,1132,FWD
432,Tata,Tiago,Hatchback,2021,5.1,1000,Petrol,AMT,92,107,17.81,160,2,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,4,5,No,No,No,No,1,No,No,9,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,195/55 R16,166,303,39,2477,4055,1631,1494,908,FWD
433,Maruti Suzuki,Ignis,Hatchback,2019,7.67,1300,Petrol,AMT,73,107,22.17,165,2,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,4,5,Yes,No,No,No,1,No,No,8,Yes,Yes,Yes,No,No,JBL,No,Yes,Yes,No,No,195/55 R16,168,367,34,2392,3867,1731,1483,932,FWD
434,Citroen,C3,Hatchback,2021,7.68,1000,Petrol,Manual,107,157,16.23,168,4,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,3,5,No,No,No,No,1,Yes,No,9,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,175/65 R15,158,284,30,2455,3792,1735,1504,1094,FWD
435,Citroen,C3,Hatchback,2022,5.51,1000,Diesel,Manual,100,117,17.42,185,2,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,0,5,Yes,No,No,No,1,No,Yes,7,Yes,Yes,Yes,No,No,Bose,No,Yes,Yes,No,No,185/60 R15,169,274,39,2484,3834,1662,1531,1067,FWD
436,Tata,Altroz,Hatchback,2024,5.33,900,Petrol,Manual,82,103,22.08,170,4,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,0,5,No,No,No,No,1,No,No,9,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,185/60 R15,164,359,33,2569,3774,1670,1558,889,FWD
437,Tata,Altroz,Hatchback,2020,5.66,1300,CNG,Manual,68,100,22.12,186,4,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,5,5,No,Yes,No,No,1,No,No,10.25,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,165/65 R14,163,324,39,2542,3799,1628,1499,967,FWD
438,Ford,Figo,Hatchback,2023,10.72,1000,Diesel,Manual,102,172,23.05,140,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,0,5,Yes,Yes,Yes,No,1,Yes,Yes,9,Yes,Yes,Yes,Yes,Yes,Meridian,Yes,Yes,Yes,Yes,Yes,185/60 R15,162,271,30,2517,3933,1748,1515,980,FWD
439,Maruti Suzuki,Alto K10,Hatchback,2023,8.84,1200,Petrol,AMT,86,147,22.11,178,2,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,5,Yes,Yes,No,No,1,Yes,Yes,8,Yes,Yes,No,Yes,Yes,Burmester,Yes,Yes,Yes,Yes,Yes,165/65 R14,159,268,38,2548,3981,1747,1453,1050,FWD
440,Tata,Punch,Hatchback,2020,11.88,1200,CNG,CVT,100,159,20.46,153,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,0,5,Yes,Yes,No,No,1,Yes,Yes,7,Yes,Yes,Yes,Yes,Yes,JBL,Yes,Yes,Yes,No,Yes,185/60 R15,184,321,38,2442,4028,1641,1525,1111,FWD
441,Maruti Suzuki,Ignis,Hatchback,2021,7.66,1200,Diesel,Manual,70,92,22.93,177,4,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,0,5,No,No,No,No,1,No,Yes,10.25,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,185/60 R15,164,262,39,2403,4060,1677,1486,850,FWD
442,Ford,Figo,Hatchback,2021,5.25,1200,Electric,CVT,81,104,20.95,142,2,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,3,5,No,No,Yes,No,1,No,No,7,Yes,Yes,No,No,No,Bose,No,Yes,Yes,Yes,Yes,195/55 R16,160,332,35,2596,3739,1765,1508,1043,FWD
443,Maruti Suzuki,Alto K10,Hatchback,2020,5.45,800,Petrol,AMT,87,142,18.87,180,2,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,4,5,No,No,No,No,1,No,No,8,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,175/65 R15,163,263,37,2562,4003,1723,1467,1073,FWD
444,Honda,Jazz,Hatchback,2020,5.56,1100,Petrol,Automatic,88,124,22.49,156,4,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,3,5,No,Yes,No,No,1,No,Yes,7,Yes,Yes,Yes,No,No,Bose,Yes,Yes,Yes,No,No,175/65 R15,181,274,32,2596,3940,1665,1514,933,FWD
445,Renault,Kwid,Hatchback,2019,4.94,1100,Petrol,CVT,82,137,17.46,184,4,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,4,5,No,No,No,No,1,Yes,No,7,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,195/55 R16,157,251,39,2472,3816,1732,1456,1141,FWD
446,Volkswagen,Polo,Hatchback,2019,4.75,800,Electric,Automatic,94,148,16.04,170,4,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,0,5,No,No,No,No,1,No,No,10.25,Yes,Yes,No,No,No,JBL,No,Yes,Yes,No,No,195/55 R16,161,319,40,2517,3742,1674,1548,886,FWD
447,Renault,Kwid,Hatchback,2021,4.84,1000,Petrol Hybrid,Automatic,75,103,21.48,144,4,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,3,5,No,No,No,No,1,No,No,8,Yes,Yes,No,No,No,JBL,No,Yes,Yes,No,No,185/60 R15,180,298,34,2584,4022,1696,1501,920,FWD
448,Maruti Suzuki,Celerio,Hatchback,2021,4.9,1100,CNG,AMT,85,116,19.59,161,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,0,5,Yes,No,No,Yes,1,No,Yes,7,Yes,Yes,No,No,No,Bose,Yes,Yes,Yes,No,Yes,185/60 R15,180,315,39,2493,4049,1719,1456,940,FWD
449,Maruti Suzuki,Swift,Hatchback,2022,9.88,1000,CNG,Manual,88,153,18.14,145,6,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,0,5,Yes,Yes,No,No,1,Yes,Yes,8,Yes,Yes,No,Yes,No,Mark Levinson,Yes,Yes,Yes,Yes,Yes,185/60 R15,156,352,32,2391,3952,1645,1547,1076,FWD
450,Tata,Altroz,Hatchback,2022,8.96,800,CNG,AMT,93,140,18.93,141,2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,5,Yes,Yes,No,No,1,Yes,Yes,9,Yes,Yes,Yes,Yes,Yes,JBL,No,Yes,Yes,No,Yes,175/65 R15,185,379,33,2468,4089,1682,1497,1140,FWD
451,Tata,Altroz,Hatchback,2019,7.21,800,Petrol,Manual,95,136,23.52,140,2,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,4,5,No,No,No,No,1,No,No,9,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,175/65 R15,165,323,28,2435,3782,1782,1494,855,FWD
452,Maruti Suzuki,Ignis,Hatchback,2020,11.89,1000,Petrol,AMT,75,92,16.85,174,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,5,Yes,Yes,Yes,No,1,Yes,Yes,8,Yes,Yes,Yes,Yes,Yes,Meridian,Yes,Yes,Yes,Yes,Yes,165/65 R14,157,338,34,2493,3812,1654,1528,853,FWD
453,Maruti Suzuki,Celerio,Hatchback,2022,7.01,1200,Diesel,CVT,70,99,22.86,151,2,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,0,5,No,Yes,No,No,1,No,No,7,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,165/65 R14,160,288,34,2559,3786,1645,1532,937,FWD
454,Hyundai,Grand i10 Nios,Hatchback,2023,10.39,1200,Diesel,Manual,101,111,18.93,146,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0,5,Yes,Yes,Yes,No,1,Yes,Yes,8,Yes,Yes,Yes,Yes,No,Sony,Yes,Yes,Yes,Yes,Yes,175/65 R15,171,362,42,2424,3960,1690,1492,1009,FWD
455,Tata,Tiago,Hatchback,2023,5.54,1300,Petrol Hybrid,Manual,91,103,20.41,179,4,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,5,5,No,No,No,No,1,No,No,9,Yes,Yes,No,No,No,JBL,Yes,Yes,Yes,No,Yes,165/65 R14,175,293,28,2450,4065,1658,1478,917,FWD
456,Datsun,GO,Hatchback,2022,7.19,900,Diesel,Manual,79,107,17.55,189,2,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,5,5,No,No,No,No,1,No,No,7,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,165/65 R14,170,316,34,2535,3720,1660,1524,1121,FWD
457,Tata,Tiago,Hatchback,2019,6.48,1300,Petrol,Manual,104,159,19.14,149,2,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0,5,No,No,No,No,1,No,Yes,10.25,Yes,Yes,No,Yes,No,Bose,Yes,Yes,Yes,Yes,No,195/55 R16,161,318,37,2577,3796,1677,1522,1063,FWD
458,Maruti Suzuki,Swift,Hatchback,2021,9.35,1100,Petrol,Manual,88,148,19.08,167,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,0,5,Yes,Yes,Yes,No,1,Yes,Yes,7,Yes,Yes,Yes,No,Yes,Harman Kardon,Yes,Yes,Yes,No,Yes,195/55 R16,163,296,31,2523,3873,1681,1467,994,FWD
459,Honda,Jazz,Hatchback,2021,9.5,1000,Petrol,Manual,100,128,17.62,142,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,5,No,Yes,Yes,No,1,Yes,Yes,9,Yes,Yes,Yes,No,No,Bang & Olufsen,Yes,Yes,Yes,Yes,Yes,185/60 R15,173,360,41,2449,3901,1718,1543,1107,FWD
460,Hyundai,i20,Hatchback,2022,6.06,1000,Petrol,Manual,88,114,16.18,184,2,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,5,5,No,No,No,No,1,Yes,No,9,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,185/60 R15,156,307,38,2519,3998,1670,1481,930,FWD
461,Tata,Tiago,Hatchback,2021,10.33,1000,Petrol,AMT,109,154,19.3,182,4,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0,5,Yes,Yes,Yes,No,1,No,Yes,9,Yes,Yes,Yes,Yes,No,Bang & Olufsen,Yes,Yes,Yes,Yes,No,195/55 R16,163,308,41,2554,4033,1747,1456,907,FWD
462,Volkswagen,Polo,Hatchback,2024,11.74,1300,CNG,Automatic,106,167,19.29,161,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,5,Yes,Yes,No,No,1,Yes,No,7,Yes,Yes,Yes,No,Yes,Burmester,Yes,Yes,Yes,Yes,Yes,175/65 R15,170,285,39,2412,3733,1699,1473,1013,FWD
463,Volkswagen,Polo,Hatchback,2019,7.69,1200,Petrol,CVT,84,133,16.99,153,4,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,5,5,Yes,No,No,No,1,No,No,9,Yes,Yes,No,No,No,JBL,No,Yes,Yes,No,No,175/65 R15,175,353,31,2559,4015,1668,1516,939,FWD
464,Citroen,C3,Hatchback,2021,10.9,1300,Diesel,AMT,98,164,22.25,154,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,0,5,Yes,Yes,Yes,No,1,Yes,Yes,7,Yes,Yes,Yes,Yes,Yes,JBL,Yes,Yes,Yes,No,No,175/65 R15,183,286,39,2402,3952,1790,1551,1072,FWD
465,Ford,Figo,Hatchback,2021,10.35,1100,Petrol,Manual,94,120,17.16,153,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,5,Yes,Yes,Yes,No,1,Yes,Yes,7,Yes,Yes,Yes,Yes,Yes,Bang & Olufsen,Yes,Yes,Yes,Yes,No,175/65 R15,181,362,41,2584,3825,1637,1559,908,FWD
466,Renault,Kwid,Hatchback,2022,9.63,1100,Petrol,AMT,102,112,21.35,154,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,5,Yes,Yes,No,No,1,Yes,Yes,9,Yes,Yes,Yes,Yes,Yes,Burmester,Yes,Yes,Yes,Yes,Yes,165/65 R14,166,262,34,2564,3837,1638,1459,1139,FWD
